[Thu May 17 18:44:36.601676 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  20. Illuminate\\Routing\\Router->dispatchToRoute() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:511, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601685 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  21. Illuminate\\Routing\\Router->runRouteWithinStack() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:533, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601698 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  22. Illuminate\\Pipeline\\Pipeline->then() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Router.php:574, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601707 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  23. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601716 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  24. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601725 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  25. Illuminate\\Cookie\\Middleware\\EncryptCookies->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601734 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  26. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:59, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601743 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  27. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601753 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  28. Illuminate\\Cookie\\Middleware\\AddQueuedCookiesToResponse->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601762 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  29. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601770 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  30. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601779 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  31. Illuminate\\Session\\Middleware\\StartSession->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601788 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  32. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:64, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601797 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  33. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601806 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  34. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601815 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  35. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601828 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601838 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  37. Illuminate\\Foundation\\Http\\Middleware\\VerifyCsrfToken->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601846 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  38. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:65, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601855 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  39. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601864 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  40. Illuminate\\Auth\\Middleware\\Authenticate->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601873 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  41. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Auth/Middleware/Authenticate.php:43, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601882 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  42. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /var/www/blog/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53, referer: http://blog.demo/public/login
[Thu May 17 18:44:36.601891 2018] [:error] [pid 25277] [client 127.0.0.1:35204] PHP  43. Illuminate\\Routing\\Middleware\\SubstituteBindings->handle() /var/www/blog/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:148, referer: http://blog.demo/public/login
